transcript	description	eval	begin	end
MSTRG.21066.5	spliceosomal protein U5-15Kd	0.00017	3	51
MSTRG.21074.4	NLI interacting factor-like phosphatase	0.0029	174	325
MSTRG.21074.4	DNA ligase	0.088	606	718
MSTRG.21074.4	Biotinyl/lipoyl-carrier proteins and domains	0.0071	25	112
MSTRG.2110.1	Armadillo repeat	0.0076	23	299
MSTRG.2110.15	Armadillo repeat	0.0076	23	273
MSTRG.21105.6	Classic zinc finger, C2H2	0.014	4	60
MSTRG.21105.8	Classic zinc finger, C2H2	0.014	4	60
MSTRG.21117.4	Classic zinc finger, C2H2	0.0083	34	84
MSTRG.21117.4	Classic zinc finger, C2H2	0.0061	236	286
MSTRG.21117.4	Classic zinc finger, C2H2	0.034	324	345
MSTRG.21117.4	Classic zinc finger, C2H2	0.034	499	526
MSTRG.21117.4	Classic zinc finger, C2H2	0.049	161	208
MSTRG.21151.2	Cytochrome b5	4.51e-06	7	97
MSTRG.21151.3	Cytochrome b5	0.00063	7	42
MSTRG.21161.1	Spermadhesin, CUB domain	0.00018	50	154
MSTRG.21161.1	Spermadhesin, CUB domain	0.0046	169	293
MSTRG.21161.1	LDL receptor-like module	0.003	291	327
MSTRG.21166.1	TNF-like	0.00046	92	223
MSTRG.21166.2	TNF-like	0.00046	92	223
MSTRG.21166.3	TNF-like	0.00046	92	223
MSTRG.21166.4	TNF-like	0.00046	92	223
MSTRG.21175.6	SH2 domain	0.00043	372	492
MSTRG.21175.6	SOCS box-like	0.0018	495	533
MSTRG.21199.1	PDI-like	0.0074	35	132
MSTRG.21214.5	Choline/Carnitine O-acyltransferase	1.05e-05	162	537
MSTRG.21214.5	Choline/Carnitine O-acyltransferase	1.93e-05	543	766
MSTRG.21216.1	GUN4-associated domain	0.047	52	427
MSTRG.21216.2	GUN4-associated domain	0.047	52	427
MSTRG.21238.2	Choline kinase	0.0011	76	148
MSTRG.21238.3	Choline kinase	0.0011	76	148
MSTRG.21243.2	ALDH-like	5.81e-06	6	193
MSTRG.21251.1	MutT-like	0.0033	28	186
MSTRG.21253.2	Nqo1 FMN-binding domain-like	2.97e-07	37	273
MSTRG.21253.2	Nqo1 middle domain-like	0.001	274	358
MSTRG.21254.1	Glutathione S-transferase (GST), C-terminal domain	3.55e-07	62	189
MSTRG.21254.1	Glutathione S-transferase (GST), N-terminal domain	6.03e-05	2	58
MSTRG.21254.2	Glutathione S-transferase (GST), C-terminal domain	3.55e-07	40	167
MSTRG.21254.2	Glutathione S-transferase (GST), N-terminal domain	0.00059	6	39
MSTRG.21254.4	Glutathione S-transferase (GST), C-terminal domain	3.55e-07	62	189
MSTRG.21254.4	Glutathione S-transferase (GST), N-terminal domain	6.03e-05	2	58
MSTRG.21254.5	Glutathione S-transferase (GST), C-terminal domain	3.55e-07	62	189
MSTRG.21254.5	Glutathione S-transferase (GST), N-terminal domain	6.03e-05	2	58
MSTRG.21254.6	Glutathione S-transferase (GST), C-terminal domain	3.55e-07	62	189
MSTRG.21254.6	Glutathione S-transferase (GST), N-terminal domain	6.03e-05	2	58
MSTRG.21254.7	Glutathione S-transferase (GST), C-terminal domain	4.91e-07	62	189
MSTRG.21254.7	Glutathione S-transferase (GST), N-terminal domain	6.03e-05	2	58
MSTRG.21258.2	Phoshatidylinositol transfer protein, PITP	2.57e-07	1	260
MSTRG.21258.3	Phoshatidylinositol transfer protein, PITP	0.0032	1	28
MSTRG.21259.1	Tetratricopeptide repeat (TPR)	0.002	173	322
MSTRG.21259.1	FKBP immunophilin/proline isomerase	0.0019	7	94
MSTRG.21259.1	FKBP immunophilin/proline isomerase	0.0019	132	158
MSTRG.21259.2	Tetratricopeptide repeat (TPR)	0.002	173	322
MSTRG.21259.2	FKBP immunophilin/proline isomerase	0.0019	7	94
MSTRG.21259.2	FKBP immunophilin/proline isomerase	0.0019	132	158
MSTRG.21259.3	Tetratricopeptide repeat (TPR)	0.002	173	322
MSTRG.21259.3	FKBP immunophilin/proline isomerase	0.0019	7	94
MSTRG.21259.3	FKBP immunophilin/proline isomerase	0.0019	132	158
MSTRG.21259.6	Tetratricopeptide repeat (TPR)	0.0019	173	320
MSTRG.21259.6	FKBP immunophilin/proline isomerase	0.0019	7	94
MSTRG.21259.6	FKBP immunophilin/proline isomerase	0.0019	132	158
MSTRG.21261.1	WD40-repeat	0.0014	54	299
MSTRG.21261.2	WD40-repeat	0.0014	54	299
MSTRG.21262.13	Protein kinases, catalytic subunit	1e-04	58	152
MSTRG.21262.3	Protein kinases, catalytic subunit	8.24e-07	59	266
MSTRG.21262.4	Protein kinases, catalytic subunit	1e-04	58	152
MSTRG.21262.5	Protein kinases, catalytic subunit	1e-04	58	152
MSTRG.21262.9	Protein kinases, catalytic subunit	1e-04	58	151
MSTRG.21265.5	Protein serine/threonine phosphatase	5.12e-11	19	300
MSTRG.21274.1	Ankyrin repeat	0.0023	9	96
MSTRG.21274.2	Ankyrin repeat	0.0027	8	74
MSTRG.2128.1	Fibronectin type III	0.0011	245	345
MSTRG.2128.1	Fibronectin type III	0.001	8	143
MSTRG.2128.1	I set domains	0.0069	364	458
MSTRG.2128.1	I set domains	0.023	165	254
MSTRG.2128.2	I set domains	0.0082	30	124
MSTRG.2128.2	I set domains	0.017	1899	1988
MSTRG.2128.2	I set domains	0.024	1997	2091
MSTRG.2128.2	I set domains	0.0069	2595	2689
MSTRG.2128.2	I set domains	0.023	2396	2485
MSTRG.2128.2	I set domains	0.018	309	398
MSTRG.2128.2	Fibronectin type III	0.001	2083	2280
MSTRG.2128.2	Fibronectin type III	0.0011	2285	2385
MSTRG.2128.2	Fibronectin type III	0.0011	2473	2573
MSTRG.21296.2	Canonical RBD	0.0047	2	113
MSTRG.21296.5	Canonical RBD	0.0047	2	113
MSTRG.21297.10	Canonical RBD	0.0029	3	139
MSTRG.21297.11	Canonical RBD	0.0029	3	139
MSTRG.21297.4	Canonical RBD	0.016	76	170
MSTRG.21297.4	Canonical RBD	0.0029	3	74
MSTRG.21297.6	Canonical RBD	0.0029	3	139
MSTRG.21297.8	Canonical RBD	0.0029	3	139
MSTRG.21307.7	Papain-like	4.54e-09	3	299
MSTRG.21347.3	Cold shock DNA-binding domain-like	0.011	6	66
MSTRG.21347.4	Cold shock DNA-binding domain-like	0.0081	2	102
MSTRG.21347.6	Cold shock DNA-binding domain-like	0.011	6	66
MSTRG.21355.8	TBP-associated factors, TAFs	0.00011	1	94
MSTRG.21366.2	XPF/Rad1/Mus81 nuclease	0.0025	267	417
MSTRG.21366.2	DNA polymerase beta, N-terminal domain-like	0.0034	9	85
MSTRG.21366.3	XPF/Rad1/Mus81 nuclease	0.0025	267	417
MSTRG.21366.3	DNA polymerase beta, N-terminal domain-like	0.0034	9	85
MSTRG.21368.5	Cofilin-like	7.19e-08	1	147
MSTRG.21369.3	PX domain	0.01	24	165
MSTRG.21369.7	PX domain	0.013	24	95
MSTRG.21369.8	PX domain	0.016	24	78
MSTRG.21382.1	Rel/Dorsal transcription factors, DNA-binding domain	7.86e-09	18	196
MSTRG.21382.1	NF-kappa-B/REL/DORSAL transcription factors, C-terminal domain	1.69e-07	191	322
MSTRG.21383.1	Rap/Ran-GAP	4.45e-05	1	125
MSTRG.21383.4	Rap/Ran-GAP	8.85e-07	203	542
MSTRG.21383.4	PDZ domain	0.013	677	757
MSTRG.21386.1	SH3-domain	0.00079	36	111
MSTRG.21386.2	Protein kinases, catalytic subunit	1.24e-05	114	378
MSTRG.21386.2	SH3-domain	0.00079	36	110
MSTRG.21391.3	EGF-type module	0.0071	90	135
MSTRG.21391.3	EGF-type module	0.01	121	171
MSTRG.21391.3	TB module/8-cys domain	0.0013	5	60
MSTRG.21391.5	EGF-type module	0.0071	90	135
MSTRG.21391.5	EGF-type module	0.01	121	171
MSTRG.21391.5	TB module/8-cys domain	0.0013	5	60
MSTRG.21392.1	HEAT repeat	0.04	276	543
MSTRG.21392.1	Protein kinases, catalytic subunit	0.0013	32	259
MSTRG.21416.1	RING finger domain, C3HC4	0.0095	271	335
MSTRG.21416.5	RING finger domain, C3HC4	0.0095	271	335
MSTRG.21421.1	Exocyst complex component	0.028	174	371
MSTRG.21421.29	RING finger domain, C3HC4	0.018	34	109
MSTRG.21426.1	PX domain	0.0021	6	124
MSTRG.21426.1	MIT domain	0.0017	266	336
MSTRG.21439.7	Protein kinases, catalytic subunit	6.94e-06	13	278
MSTRG.21443.11	Ras GEF	0.02	9	60
MSTRG.21443.14	Ras GEF	0.02	9	60
MSTRG.21443.15	Ras GEF	0.02	9	60
MSTRG.21443.2	Ras GEF	0.02	9	60
MSTRG.21443.7	Ras GEF	0.02	9	60
MSTRG.21445.17	Laminin G-like module	9.24e-07	4	147
MSTRG.21445.2	Laminin G-like module	0.0011	842	1022
MSTRG.21445.2	Laminin G-like module	0.0036	657	838
MSTRG.21445.2	Laminin G-like module	0.0053	27	183
MSTRG.21445.2	Laminin G-like module	9.08e-07	1055	1195
MSTRG.21445.2	Laminin G-like module	9.08e-07	1224	1266
MSTRG.21445.2	Laminin G-like module	0.0011	441	645
MSTRG.21445.2	Laminin G-like module	0.0034	227	422
MSTRG.21445.5	Laminin G-like module	0.0011	868	1048
MSTRG.21445.5	Laminin G-like module	0.0036	683	864
MSTRG.21445.5	Laminin G-like module	0.0027	213	240
MSTRG.21445.5	Laminin G-like module	0.0027	283	441
MSTRG.21445.5	Laminin G-like module	0.0053	27	183
MSTRG.21445.5	Laminin G-like module	9.08e-07	1081	1221
MSTRG.21445.5	Laminin G-like module	9.08e-07	1250	1292
MSTRG.21445.5	Laminin G-like module	0.0011	467	671
MSTRG.2146.1	Motor proteins	3.1e-08	394	767
MSTRG.2146.1	FHA domain	0.00011	832	936
MSTRG.21461.1	Glutathione peroxidase-like	6.97e-05	52	121
MSTRG.21461.3	Nuclear receptor ligand-binding domain	4.02e-09	206	232
MSTRG.21461.3	Nuclear receptor ligand-binding domain	4.02e-09	260	482
MSTRG.21461.3	Glutathione peroxidase-like	2.1e-07	483	637
MSTRG.21461.3	Nuclear receptor	9.36e-06	153	238
MSTRG.21467.1	FKBP immunophilin/proline isomerase	6.25e-05	28	137
MSTRG.21467.2	Chaperone J-domain	0.00068	52	124
MSTRG.21467.8	Platelet-derived growth factor-like	0.00025	31	135
MSTRG.21467.8	Heparin-binding domain from vascular endothelial growth factor	0.00061	144	195
MSTRG.21468.2	Tpt1/KptA	0.0065	24	182
MSTRG.21472.1	Macro domain	1.46e-05	123	323
MSTRG.21472.2	Macro domain	1.46e-05	123	322
MSTRG.21474.1	Ngr ectodomain-like	0.0037	102	372
MSTRG.21474.1	Ngr ectodomain-like	0.0047	53	117
MSTRG.21474.1	Fibronectin type III	0.0052	442	510
MSTRG.21475.3	Ubiquitin thiolesterase protein OTUB2 (Otubain-2)	2.73e-06	46	247
MSTRG.21485.2	Protein kinases, catalytic subunit	1e-05	50	305
MSTRG.21527.1	WD40-repeat	0.0052	9	300
MSTRG.21530.1	TBP-associated factors, TAFs	0.0059	16	81
MSTRG.21530.1	PBS lyase HEAT-like repeat	0.059	162	354
MSTRG.21530.5	TBP-associated factors, TAFs	0.0059	16	81
MSTRG.21530.5	PBS lyase HEAT-like repeat	0.059	164	354
MSTRG.21530.6	TBP-associated factors, TAFs	0.0059	9	74
MSTRG.21532.2	N-terminal, heterodimerisation domain of RBP7 (RpoE)	0.00014	1	40
MSTRG.21534.1	Tetratricopeptide repeat (TPR)	0.0022	5	166
MSTRG.21534.2	Tetratricopeptide repeat (TPR)	0.016	5	80
MSTRG.21544.4	1,3-glucuronyltransferase	9.68e-10	75	308
MSTRG.21546.1	WD40-repeat	0.015	725	870
MSTRG.21546.1	Quinoprotein alcohol dehydrogenase-like	0.036	244	545
MSTRG.21546.1	Quinoprotein alcohol dehydrogenase-like	0.036	583	760
MSTRG.21546.6	Myb/SANT domain	0.00013	266	318
MSTRG.21546.7	Myb/SANT domain	0.00013	266	318
MSTRG.21548.2	RNA editing terminal uridyl transferase 2, RET2, domain 2	0.03	442	618
MSTRG.21548.2	Catalytic subunit of bi-partite nucleotidyltransferase	0.066	192	263
MSTRG.21548.2	Catalytic subunit of bi-partite nucleotidyltransferase	0.066	372	437
MSTRG.21548.2	Canonical RBD	0.01	54	92
MSTRG.21548.2	Canonical RBD	0.01	128	167
MSTRG.21548.2	Classic zinc finger, C2H2	0.06	5	45
MSTRG.21550.2	eEF1-gamma domain	1.87e-08	171	331
MSTRG.21550.2	Glutathione S-transferase (GST), N-terminal domain	0.0057	1	81
MSTRG.21550.2	Glutathione S-transferase (GST), C-terminal domain	0.0058	81	135
MSTRG.21551.1	PDZ domain	0.034	17	95
MSTRG.21551.2	PDZ domain	0.036	17	95
MSTRG.21551.3	PDZ domain	0.034	17	95
MSTRG.21551.4	PDZ domain	0.039	17	95
MSTRG.21551.5	PDZ domain	0.036	17	95
MSTRG.21551.6	PDZ domain	0.034	17	95
MSTRG.21551.7	PDZ domain	0.058	17	95
MSTRG.21553.1	(Glycosyl)asparaginase	2.74e-05	1	217
MSTRG.21575.2	Cytochrome b5	0.0019	23	107
MSTRG.21576.1	Cytochrome b5	0.0014	16	107
MSTRG.216.3	Glutathione S-transferase (GST), N-terminal domain	0.0049	23	105
MSTRG.21602.2	DAK1	6.73e-06	4	179
MSTRG.21603.3	WD40-repeat	0.012	795	933
MSTRG.21622.1	t-snare proteins	0.0013	31	74
MSTRG.21661.1	WD40-repeat	5.21e-12	438	772
MSTRG.21716.3	ATP-dependent riboflavin kinase-like	9.04e-06	1	85
MSTRG.21727.5	Mycolic acid cyclopropane synthase	0.091	4	122
MSTRG.21747.2	ALDH-like	8.72e-14	15	496
MSTRG.21763.2	Haloperoxidase	0.061	40	283
MSTRG.21763.3	Haloperoxidase	0.061	40	283
MSTRG.2178.2	Protein kinases, catalytic subunit	0.00074	1	88
MSTRG.21835.1	ABC transporter ATPase domain-like	0.0013	73	109
MSTRG.21835.1	ABC transporter ATPase domain-like	0.0013	317	488
MSTRG.21835.2	ABC transporter ATPase domain-like	0.0013	226	245
MSTRG.21835.2	ABC transporter ATPase domain-like	0.0013	273	472
MSTRG.21847.2	Phosphotyrosine-binding domain (PTB)	1.02e-07	458	611
MSTRG.21847.2	PDZ domain	3.04e-05	625	748
MSTRG.21847.2	PDZ domain	1.81e-05	740	824
MSTRG.21853.1	Nucleotide and nucleoside kinases	0.0011	111	221
MSTRG.21859.1	Frataxin-like	1.11e-06	79	194
MSTRG.21886.1	Cysteine-rich DNA binding domain, (DM domain)	0.00038	118	165
MSTRG.21892.23	Bromodomain	0.0013	68	200
MSTRG.21892.26	Bromodomain	0.0013	68	200
MSTRG.21892.5	Tandem AAA-ATPase domain	3.75e-05	962	1272
MSTRG.21892.5	Tandem AAA-ATPase domain	4.38e-05	710	960
MSTRG.21892.5	Bromodomain	0.0013	1375	1507
MSTRG.21892.5	BRK domain-like	0.0037	590	667
MSTRG.21905.1	LDL receptor-like module	0.00055	234	273
MSTRG.21905.1	LDL receptor-like module	0.00073	31	68
MSTRG.21905.1	LDL receptor-like module	0.00049	272	312
MSTRG.21905.1	LDL receptor-like module	0.00075	148	188
MSTRG.21905.1	LDL receptor-like module	0.00093	187	225
MSTRG.21905.1	LDL receptor-like module	0.00018	107	149
MSTRG.21905.1	LDL receptor-like module	6e-04	70	108
MSTRG.21905.1	LDL receptor-like module	4e-04	318	355
MSTRG.21905.1	YWTD domain	9.1e-08	443	700
MSTRG.21905.1	EGF-type module	0.0031	360	403
MSTRG.21905.1	EGF-type module	0.001	704	750
MSTRG.21905.1	EGF-type module	0.0019	396	429
MSTRG.21907.3	Pumilio repeat	5e-04	146	479
MSTRG.21907.3	Pumilio repeat	0.029	489	647
MSTRG.21910.1	P4 origin-binding domain-like	2.02e-05	184	257
MSTRG.21984.1	SRA domain-like	2.09e-08	430	634
MSTRG.21984.1	Ubiquitin-related	1.6e-05	1	96
MSTRG.21984.1	PHD domain	0.0021	340	398
MSTRG.21986.3	Glycine dehydrogenase subunits (GDC-P)	1.1e-06	71	490
MSTRG.21986.3	Glycine dehydrogenase subunits (GDC-P)	5.67e-06	534	776
MSTRG.22001.3	SAM (sterile alpha motif) domain	1.63e-05	3	82
MSTRG.22010.1	Extended AAA-ATPase domain	2.39e-05	73	334
MSTRG.22022.1	Gastric lipase	1.86e-06	24	174
MSTRG.22022.3	Gastric lipase	4.81e-08	24	333
MSTRG.22030.3	JAB1/MPN domain	0.0092	268	396
MSTRG.22030.3	USP8 N-terminal domain-like	0.0072	36	144
MSTRG.22041.1	Tetratricopeptide repeat (TPR)	0.028	51	188
MSTRG.22041.1	Tetratricopeptide repeat (TPR)	0.016	150	279
MSTRG.22041.1	Tetratricopeptide repeat (TPR)	0.016	313	359
MSTRG.22041.2	Tetratricopeptide repeat (TPR)	0.0051	136	293
MSTRG.22041.2	Tetratricopeptide repeat (TPR)	0.054	52	122
MSTRG.22042.3	Tetratricopeptide repeat (TPR)	0.024	33	326
MSTRG.22042.3	Tetratricopeptide repeat (TPR)	0.02	280	422
MSTRG.22043.1	Tetratricopeptide repeat (TPR)	0.005	107	264
MSTRG.22043.1	Tetratricopeptide repeat (TPR)	0.048	19	100
MSTRG.22050.1	Fumble-like	1.04e-07	186	330
MSTRG.22050.1	Fumble-like	1.15e-06	304	325
MSTRG.22050.1	Fumble-like	1.15e-06	356	481
MSTRG.2206.3	Voltage-gated potassium channels	0.0027	162	324
MSTRG.2206.3	Potassium channel NAD-binding domain	0.047	341	458
MSTRG.2206.4	Voltage-gated potassium channels	0.0027	162	324
MSTRG.2206.4	Potassium channel NAD-binding domain	0.047	341	458
MSTRG.2206.7	Voltage-gated potassium channels	0.0027	124	286
MSTRG.22066.1	Rhodopsin-like	0.0028	77	183
MSTRG.22068.2	PHP domain	0.073	21	167
MSTRG.22069.1	RING finger domain, C3HC4	0.0078	10	79
MSTRG.22069.2	RING finger domain, C3HC4	0.0094	10	64
MSTRG.22088.1	Ankyrin repeat	1.6e-05	28	430
MSTRG.22092.2	Armadillo repeat	0.069	6	70
MSTRG.22092.2	Armadillo repeat	0.069	275	601
MSTRG.22092.3	HEAT repeat	0.035	7	77
MSTRG.22092.4	HEAT repeat	0.035	7	77
MSTRG.22093.1	Canonical RBD	0.0085	457	628
MSTRG.22099.1	Variant RING domain	0.027	8	73
MSTRG.22099.3	Variant RING domain	0.023	8	73
MSTRG.22099.6	Variant RING domain	0.023	11	72
MSTRG.221.1	PR-1-like	0.0095	54	103
MSTRG.22102.1	MPP-like	6.34e-06	12	245
MSTRG.22102.1	MPP-like	0.00082	487	709
MSTRG.22102.1	MPP-like	0.00051	247	485
MSTRG.22102.1	MPP-like	0.00046	725	963
MSTRG.22121.13	PLC-like (P variant)	0.027	2	102
MSTRG.22121.14	PLC-like (P variant)	0.038	2	112
MSTRG.22121.14	Synaptotagmin-like (S variant)	0.035	191	289
MSTRG.22121.6	PLC-like (P variant)	0.027	2	102
MSTRG.22123.1	Retinol binding protein-like	4.67e-08	22	190
MSTRG.22166.1	SH3-domain	0.001	1468	1530
MSTRG.22166.1	SH3-domain	0.001	1110	1200
MSTRG.22166.1	SH3-domain	0.00081	1029	1105
MSTRG.22166.13	SH3-domain	0.001	758	821
MSTRG.22166.13	SH3-domain	0.001	652	745
MSTRG.22166.13	SH3-domain	0.00081	571	647
MSTRG.22166.14	SH3-domain	0.001	1014	1076
MSTRG.22166.14	SH3-domain	0.001	613	702
MSTRG.22166.14	SH3-domain	0.00081	531	607
MSTRG.22166.19	SH3-domain	0.001	687	749
MSTRG.22166.19	SH3-domain	0.001	561	649
MSTRG.22166.19	SH3-domain	0.00081	479	555
MSTRG.22166.2	SH3-domain	0.001	1554	1616
MSTRG.22166.2	SH3-domain	0.001	1132	1222
MSTRG.22166.2	SH3-domain	0.00081	1051	1127
MSTRG.22166.27	SH3-domain	0.001	597	685
MSTRG.22166.27	SH3-domain	0.00081	516	592
MSTRG.22166.3	SH3-domain	0.001	696	758
MSTRG.22166.3	SH3-domain	0.001	570	658
MSTRG.22166.3	SH3-domain	0.00081	488	564
MSTRG.22166.4	SH3-domain	0.001	695	758
MSTRG.22166.4	SH3-domain	0.001	589	682
MSTRG.22166.4	SH3-domain	0.00081	508	584
MSTRG.22166.5	SH3-domain	0.001	667	730
MSTRG.22166.5	SH3-domain	0.00082	492	561
MSTRG.22166.5	SH3-domain	0.001	561	654
MSTRG.22166.7	SH3-domain	0.001	649	712
MSTRG.22166.7	SH3-domain	0.00082	474	543
MSTRG.22166.7	SH3-domain	0.001	543	636
MSTRG.22166.8	SH3-domain	0.0047	2	30
MSTRG.22166.9	SH3-domain	0.001	696	758
MSTRG.22166.9	SH3-domain	0.001	570	658
MSTRG.22166.9	SH3-domain	0.00081	488	564
MSTRG.22168.1	ALDH-like	1.01e-07	252	659
MSTRG.22168.1	PyrH-like	0.0025	3	242
MSTRG.22168.7	PyrH-like	0.0011	71	231
MSTRG.22201.3	Cofactor-dependent phosphoglycerate mutase	2.42e-06	2	172
MSTRG.22202.2	ECR1 N-terminal domain-like	9.69e-05	7	56
MSTRG.22204.3	PBS lyase HEAT-like repeat	0.075	141	217
MSTRG.22204.3	PBS lyase HEAT-like repeat	0.075	259	533
MSTRG.22204.3	PBS lyase HEAT-like repeat	0.075	563	845
MSTRG.22204.4	Regulatory subunit H of the V-type ATPase	0.088	141	217
MSTRG.22204.4	Regulatory subunit H of the V-type ATPase	0.088	259	532
MSTRG.22204.4	Regulatory subunit H of the V-type ATPase	0.088	562	638
MSTRG.22204.4	Regulatory subunit H of the V-type ATPase	0.088	709	786
MSTRG.22204.4	Regulatory subunit H of the V-type ATPase	0.088	826	1007
MSTRG.22204.5	Diap1 N-terninal region-like	0.097	141	217
MSTRG.22204.5	Diap1 N-terninal region-like	0.097	259	532
MSTRG.22204.5	Diap1 N-terninal region-like	0.097	562	686
MSTRG.22209.1	Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain	0.025	3	38
MSTRG.22251.1	Mitochondrial carrier	0.0044	72	169
MSTRG.22255.2	CutC-like	8.08e-05	26	145
MSTRG.22258.3	SH3-domain	2.71e-05	1510	1573
MSTRG.22258.3	SH3-domain	1.04e-05	1276	1352
MSTRG.22258.3	SH3-domain	0.0012	244	315
MSTRG.22258.3	SH3-domain	0.00096	144	205
MSTRG.22258.3	SH3-domain	0.0017	3	62
MSTRG.22258.3	SH3-domain	0.0033	66	128
MSTRG.22258.3	DBL homology domain (DH-domain)	0.00014	774	977
MSTRG.22258.3	BAR domain	0.002	1011	1208
MSTRG.22267.4	Band 7/SPFH domain	0.012	55	186
MSTRG.22268.1	Protein kinases, catalytic subunit	0.00011	13	294
MSTRG.22268.2	Protein kinases, catalytic subunit	0.00011	13	294
MSTRG.22268.5	Protein kinases, catalytic subunit	0.00011	13	294
MSTRG.22268.6	Protein kinases, catalytic subunit	0.00011	13	294
MSTRG.22268.7	Protein kinases, catalytic subunit	0.00011	13	294
MSTRG.2228.2	Thioltransferase	0.012	50	114
MSTRG.22300.1	I set domains	0.018	179	277
MSTRG.22300.1	Growth factor receptor domain	0.0021	59	146
MSTRG.22300.1	Ovomucoid domain III-like	0.0075	131	178
MSTRG.22300.2	I set domains	0.018	179	277
MSTRG.22300.2	Growth factor receptor domain	0.0021	59	146
MSTRG.22300.2	Ovomucoid domain III-like	0.0075	131	178
MSTRG.22304.1	WD40-repeat	3.15e-11	290	581
MSTRG.22304.1	F-box domain	4.15e-07	173	287
MSTRG.22304.2	WD40-repeat	3.15e-11	264	555
MSTRG.22304.2	F-box domain	4.15e-07	147	261
MSTRG.22304.3	WD40-repeat	3.15e-11	264	555
MSTRG.22304.3	F-box domain	4.15e-07	147	261
MSTRG.22304.6	WD40-repeat	3.15e-11	278	569
MSTRG.22304.6	F-box domain	4.15e-07	161	275
MSTRG.22304.8	WD40-repeat	3.15e-11	304	595
MSTRG.22304.8	F-box domain	4.15e-07	187	301
MSTRG.22306.2	DNA polymerase beta, N-terminal domain-like	8.86e-06	234	326
MSTRG.22306.2	DNA topoisomerase II binding protein 1, TopBP1	0.038	39	135
MSTRG.2231.4	Ubiquitin carboxyl-terminal hydrolase UCH-L	2e-04	6	226
MSTRG.2231.5	Ubiquitin carboxyl-terminal hydrolase UCH-L	2e-04	6	226
MSTRG.2231.6	Ubiquitin carboxyl-terminal hydrolase UCH-L	4e-04	6	217
MSTRG.22314.1	alpha-D-glucuronidase/Hyaluronidase catalytic domain	5.36e-06	60	353
MSTRG.22314.1	N-acetyl transferase, NAT	0.029	717	914
MSTRG.2233.2	Regulator of G-protein signaling, RGS	0.00011	79	149
MSTRG.22334.3	Canonical RBD	0.0069	1470	1579
MSTRG.22339.2	Sec7 domain	1.14e-05	690	887
MSTRG.22339.2	Armadillo repeat	0.051	60	192
MSTRG.22339.2	Armadillo repeat	0.051	393	573
MSTRG.22339.2	Armadillo repeat	0.051	1012	1051
MSTRG.22339.2	Armadillo repeat	0.051	1095	1166
MSTRG.22339.4	Sec7 domain	0.00011	690	809
MSTRG.22339.4	Armadillo repeat	0.051	60	192
MSTRG.22339.4	Armadillo repeat	0.051	393	573
MSTRG.22373.2	UbiE/COQ5-like	0.043	2	136
MSTRG.22373.2	UbiE/COQ5-like	0.043	169	201
MSTRG.22375.4	cAMP-binding domain	0.03	28	76
MSTRG.22375.5	cAMP-binding domain	0.03	28	79
MSTRG.22375.5	cAMP-binding domain	0.03	126	153
MSTRG.22377.10	5' nucleotidase-like	0.014	33	58
MSTRG.22377.16	5' nucleotidase-like	0.014	33	58
MSTRG.22377.6	5' nucleotidase-like	0.00027	33	177
MSTRG.22377.9	5' nucleotidase-like	0.00027	33	182
MSTRG.22379.1	RING finger domain, C3HC4	0.017	136	186
MSTRG.22379.2	RING finger domain, C3HC4	0.017	136	186
MSTRG.22380.1	WD40-repeat	0.00035	459	502
MSTRG.22380.1	WD40-repeat	0.00035	534	676
MSTRG.22380.1	Taf5 N-terminal domain-like	3.99e-08	197	344
MSTRG.22397.2	Protein kinases, catalytic subunit	1.73e-10	30	293
MSTRG.22442.3	HLH, helix-loop-helix DNA-binding domain	3.74e-05	28	112
MSTRG.2245.4	Growth factor receptor domain	0.01	404	476
MSTRG.22455.1	Smc hinge domain	0.0012	465	475
MSTRG.22455.1	Smc hinge domain	0.0012	509	689
MSTRG.22455.1	ABC transporter ATPase domain-like	0.00091	1	205
MSTRG.22464.2	Internalin LRR domain	0.023	99	395
MSTRG.22464.2	Internalin LRR domain	0.032	355	558
MSTRG.22464.3	Internalin LRR domain	0.079	102	282
MSTRG.22472.2	Adenylyl and guanylyl cyclase catalytic domain	6.74e-05	145	333
MSTRG.22474.3	Acetyl-CoA synthetase-like	8.98e-05	2	209
MSTRG.22474.3	Acetyl-CoA synthetase-like	8.98e-05	249	523
MSTRG.22474.5	Acetyl-CoA synthetase-like	0.0077	68	218
MSTRG.22476.1	t-snare proteins	3.89e-06	6	92
MSTRG.22476.2	t-snare proteins	3.89e-06	6	92
MSTRG.22476.2	SNARE fusion complex	0.00095	132	191
MSTRG.22476.4	t-snare proteins	4.79e-06	6	89
MSTRG.22483.12	HMG-box	5.21e-06	326	407
MSTRG.22483.17	HMG-box	5.21e-06	326	407
MSTRG.22483.7	HMG-box	5.21e-06	326	407
MSTRG.22494.4	Zn metallo-beta-lactamase	0.036	728	1040
MSTRG.22495.2	Glutathione peroxidase-like	0.03	74	188
MSTRG.22504.2	HBL-like	0.028	537	696
MSTRG.22505.4	Pleckstrin-homology domain (PH domain)	0.026	50	227
MSTRG.22505.4	Pleckstrin-homology domain (PH domain)	4.87e-06	314	402
MSTRG.22585.2	Protein kinase cysteine-rich domain (cys2, phorbol-binding domain)	0.0088	426	475
MSTRG.22585.2	PDZ domain	0.033	2	43
